"arxiv_id","title","angles","claim","not_covered"
"2609.13602","τ-Elicitation: Benchmarking multi-turn entity extraction in voice agents","A","200-task voice benchmark, 10 entity types, 3 environments; audio-native realtime agents reach robust exact success 0.14-0.41 vs text 1.0; only 24-37% of verified errors repaired; spell/read-back/confirm scaffold +14-31 Pass^3 points at +21-28 s/call; validate-and-retry lifts multi-field Pass@1 0.64->0.82","No cascade/ASR arm (deliberately omitted); elicitation task not argument-bearing action requests; no amounts/quantities; no telephone band, rate factor or WER covariate; no confidence/n-best gating comparator; silent-wrong cell not framed explicitly. CLOSEST NEIGHBOUR"
"openreview:pgwHOpKkOp","BFCL Audio: An Audio Function Calling Evaluation for Large Language Models (ICML 2026)","A","6.2K audio function-calling tasks in pipelined ASR->LLM (Text Audio) and end-to-end (True Audio) suites; accent, rate, disfluency, noise perturbations; AST grading of argument values; failure taxonomy; lay summary: worst mistakes are quiet mishearing of names/numbers","No per-entity-type silent-wrong ledger separating schema-valid wrong values from errors and clarifications; no recovery-lever comparison (clarification allowed but not measured as recovery); no 8 kHz telephone band; full text unread (challenge-gated). NEAR"
"2605.15104","From Text to Voice: A Reproducible and Verifiable Framework for Evaluating Tool Calling LLM Agents","A","Converts Confetti/When2Call to paired text-audio via TTS, speaker variation, DEMAND noise; 7 omni models; text-to-voice gap 1.8-4.8; audio failures preserve call structure but fail on argument values; cascade-vs-omni and text-scaling analyses","Argument-value failure is an error analysis not an entity-type ledger; no confirmation lever; no accent/rate/telephone; no WER covariate. NEAR"
"2604.22821","Audio2Tool: Speak, Call, Act - A Dataset for Benchmarking Speech Tool Use","A","~30K spoken queries (Smart Car/Home/Wearables), multi-tier complexity, voice-cloning TTS and noise; SpeechLMs and ASR-LLM pipelines degrade under compositional and acoustic challenge","Device-control domain, few high-stakes entities; aggregate accuracy, no silent-wrong ledger; no lever; no telephone band"
"2608.05126","Spoken Function Calling: A New Perspective on Spoken Language Understanding for Large Audio Language Models","A","Reframes SLU as spoken function calling; SFC-Bench synthesised from SLU datasets; post-trained SpokenFC-7B beats GPT-4o-Audio","No entity-error ledger, acoustic crossing, pipeline ledger or confirmation lever"
"2510.07978","VoiceAgentBench: Are Voice Assistants ready for agentic tasks?","A","6,000+ spoken agentic queries (EN + 6 Indic), speaker diversity via voice conversion; ASR-LLM pipelines beat end-to-end SpeechLMs (up to 60.6% parameter-filling accuracy EN)","Aggregate parameter-filling; no silent-vs-surfaced split; no controlled noise/telephone/rate; no lever"
"2608.26432","SpeechGym: An Audio-Native Gym for Training Voice Agents via Reinforcement Learning","A","Audio-native RL gym over an unmodified text agent benchmark; names the failure: right tool, right slot, value misheard from the waveform; process reward doubles voice task success","Training paper; mechanism used as reward, not measured by entity type, pipeline or acoustics; no lever. NEAR on framing"
"2605.06897","MIST: Multimodal Interactive Speech-based Tool-calling Conversational Assistants for Smart Homes","A","Synthetic multi-turn voice-driven IoT code-generation task; large open/closed gap","No entity ledger, acoustics, pipeline comparison or lever"
"2609.20152","MTVA-Bench: Evaluating the Language Model Inside Cascaded Voice Agents","A","Text-side evaluation of the LLM under cascade conditions; 490 scenarios, 7 languages; score spread comes mostly from argument values, ordering, rule compliance","Text only, no audio or ASR run, no audio-native arm; no acoustics; no lever"
"2603.13686","τ-Voice: Benchmarking Full-Duplex Voice Agents on Real-World Domains","A","τ²-bench extended to full-duplex voice with accent/noise user simulator; voice agents 31-51% clean, 26-38% noisy vs text 85%","End-to-end pass@1; entity capture not isolated; no cascade arm; no lever"
