"arxiv_id","title","angles","claim","not_covered"
"2410.17196","VoiceBench: Benchmarking LLM-Based Voice Assistants","D","First benchmark for LLM-based voice assistants (6,783 spoken instructions, 8 tasks) with accent, environment and mispronunciation variation; reveals limits of current models and an end-to-end vs ASR+LLM gap.","No tool calls or executed actions; no entity-level or silent-vs-surfaced scoring; no confirmation lever."
"2406.16020","AudioBench: A Universal Benchmark for Audio Large Language Models","D","Universal AudioLLM benchmark: 8 tasks, 26 datasets over speech, audio-scene and paralinguistic understanding; no model dominant.","No cascade arm, no tool calls, no entity slots, no acoustic crossing, no confirmation."
"2508.21376","AHELM: A Holistic Evaluation of Audio-Language Models","D","Holistic 10-aspect ALM benchmark with standardised prompts; 14 ALMs plus 3 ASR+LM baselines; Gemini 2.5 Pro tops 5/10 but unfair on ASR; one cascade baseline ranks 6th.","Cascade baselines scored on QA aspects, not tool arguments; no executed calls, no entity ledger, no levers."
"2509.22651","VoiceAssistant-Eval: Benchmarking AI Assistants across Listening, Speaking, and Viewing","D","10,497 examples over 13 listening/speaking/viewing tasks; 21 open models + GPT-4o-Audio; proprietary not universally better; robustness and safety gaps.","End-to-end only; no cascade comparison, tool calls, entity accuracy or confirmation."
"2512.16378","Hearing to Translate: The Effectiveness of Speech Modality Integration into LLMs","D","6 SpeechLLMs vs 16 direct/cascade ST systems over 16 benchmarks and 9 conditions (disfluent, noisy, long-form): cascades most reliable overall, recent SpeechLLMs match or beat them in some settings.","Speech translation, not tool calling; no entity silent-error measure; no telephone band; no confirmation."
"2505.15000","Towards Spoken Mathematical Reasoning: Benchmarking Speech-based Models over Multi-faceted Math Problems","D","Spoken-MQA benchmark for cascade and end-to-end speech LLMs: speech LLMs struggle with direct arithmetic and verbalised math; knowledge reasoning degrades in speech LLMs.","Scores math answers, not spoken amounts carried into tool arguments; no acoustic conditions; no silent-vs-surfaced; no confirmation."
"2502.09940","A Preliminary Exploration with GPT-4o Voice Mode","D","GPT-4o audio assessed across tasks: strong intent/command classification and multilingual ASR, more hallucination-robust than other LALMs; refusals vary by dataset.","No cascade comparison, tool calls, entity/number accuracy, controlled acoustics or levers."
"2606.08194","GlobeAudio: A Multilingual Multicultural Benchmark for Naturalistic Evaluation of Large Audio-Language Models","D","5,637 native-speaker MCQs in six languages on natural audio; LALMs and cascaded ASR-LLM pipelines evaluated; large gaps under natural acoustics.","MCQ understanding; no tool calls, entity slots, telephone band or confirmation."
"2510.07978","VoiceAgentBench: Are Voice Assistants ready for agentic tasks?","D","6,000+ spoken agentic queries (single/multi-tool, multi-turn, safety) in English and 6 Indic languages with speaker diversity; ASR-LLM pipelines beat end-to-end SpeechLMs (up to 60.6% parameter-filling accuracy).","Parameter accuracy not broken down by entity type or silent-vs-asked; no noise/rate/telephone crossing; no confirmation or gating lever."
"2605.15104","From Text to Voice: A Reproducible and Verifiable Framework for Evaluating Tool Calling LLM Agents","D","Converts text tool-calling benchmarks to audio via TTS, speaker variation and noise; 7 omni models; text-to-voice gap 1.8-4.8 points; failures mostly argument-value misunderstandings from speech.","Omni models only (no Whisper cascade or audio-LLM-transcriber arm); no executed silent-wrong ledger by entity type; no telephone band; no confirmation, gating or ask-when-unsure lever."
"2604.22821","Audio2Tool: Speak, Call, Act - A Dataset for Benchmarking Speech Tool Use","D","~30k spoken tool-calling queries (Smart Car/Home/Wearables) with complexity tiers, voice-cloned TTS and noise; SpeechLMs and ASR-LLM pipelines degrade under compositional and acoustic challenge.","Device-command domains without high-stakes numeric entities; correctness not classified silent-vs-surfaced; no telephone band; no confirmation."
"2604.04847","Full-Duplex-Bench-v3: Benchmarking Tool Use for Full-Duplex Voice Agents Under Real-World Disfluency","D","Real disfluent human audio with chained API calls; six configurations incl. a Whisper->GPT-4o cascade; GPT-Realtime leads Pass@1 0.600; cascade slowest (10.12 s); self-correction and multi-step reasoning are the main failures.","Scenario Pass@1, not per-entity argument ledger; disfluency rather than accent/noise/telephone crossing; no confirmation lever."
"2603.13686","τ-Voice: Benchmarking Full-Duplex Voice Agents on Real-World Domains","D","tau^2-bench extended to full-duplex voice with accents and audio environments; voice agents reach 31-51% clean and 26-38% noisy vs 85% text; 79-90% of failures are agent behaviour.","Task pass@1, not entity-level silent-wrong; no Whisper cascade arm in abstract; no isolated confirmation lever; no telephone band."
"2605.13841","EVA-Bench: A New End-to-end Framework for Evaluating Voice Agents","D","Bot-to-bot audio simulation with EVA-A/EVA-X metrics, 213 enterprise scenarios, accent-and-noise perturbation suite, multi-trial reliability; 12 systems across 3 architectures; perturbation effects vary by architecture.","Perturbation x architecture at scenario level, not per entity; entity attention is on output speech fidelity; no confirmation lever isolated; no telephone band."
