item,arm,spk,gender,path,dur,sha256
1089_0,real,1089,M,corpus/final/real/1089_0.wav,12.05,17636d65c081e8ff5fb5df2f94d35dec359a3155698971e301ca0598af4c0f70
1089_1,real,1089,M,corpus/final/real/1089_1.wav,7.13,7405041482215b0bb1cf09a51cad234831a5f6c1f3bdfe85c39ea33e322c10dc
1089_2,real,1089,M,corpus/final/real/1089_2.wav,5.61,1f530a0ef8bf4fa409159ad90eb4b7a02c7f7782d3eab856b48cd77f78bc0bc5
1089_3,real,1089,M,corpus/final/real/1089_3.wav,4.49,6434c4648d82f73095f08768f86c33a86942266745453e6c764cb7626660c1df
1089_4,real,1089,M,corpus/final/real/1089_4.wav,8.31,dac90c9a44f6d64fa5955a96e1cddfdc4bcd33bf0ad89bc287e93391425c9da2
1188_0,real,1188,M,corpus/final/real/1188_0.wav,11.38,6f8520838482197075bdd4198ab28382476be84677c70e708db9af203c096110
1188_1,real,1188,M,corpus/final/real/1188_1.wav,5.01,375a3b6f587def0c1ca6dc970896539a0d13f8715eda32ec04a948ad9f7b606e
1188_2,real,1188,M,corpus/final/real/1188_2.wav,11.12,3ea16309aeed04e69c406c945afd6ba7a813952c07af091dca851e9a2764fd04
1188_3,real,1188,M,corpus/final/real/1188_3.wav,7.03,f447acd44fb1198247f67645c5ea2d3c7371535e2b9a3cafd7e2bf86b9cbf765
1188_4,real,1188,M,corpus/final/real/1188_4.wav,4.65,041c78b6ed1c721001ba10d2337f8275474bb4efd4ef268c06a6265e5db932a1
121_0,real,121,F,corpus/final/real/121_0.wav,6.19,89ba03501a532c19b9e2ef12faad84f7d932bb2a1a5c993a0ee56fe139467420
121_1,real,121,F,corpus/final/real/121_1.wav,11.16,c55721cdce02a4ab49a80dcd076173e432ef2786c6fd02cdade2595934fa47f9
121_2,real,121,F,corpus/final/real/121_2.wav,5.47,b01a1c86c7f1e44429c95657e169c50d610e6d47782a0ef5a9a8e3df1f11cb01
121_3,real,121,F,corpus/final/real/121_3.wav,7.66,a122b12148d7dab0d6f3cee7ca224311cede5598fe7b243f8b8b91ce5a141d87
