"arxiv_id","title","angles","claim","not_covered"
"2408.00004","Handling Numeric Expressions in Automatic Speech Recognition","B","Numeric-expression formatting (years, timestamps, currency, quantities) is context dependent; cascaded vs end-to-end formatting compared with LLM+TTS adaptation data; LLM approaches strong, adapted E2E competitive at lower cost.","Transcript-level formatting only; no executed tool call, no silent-wrong cell, no pipeline vs audio-native comparison, no confirmation lever."
"2402.01931","Digits micro-model for accurate and secure transactions","B","Financial multi-digit number recognition: a specialised micro-model reaches 1.8% digit error vs 5.8% for Whisper on diverse real-world digit-string speaking styles.","ASR digit error rate only; no downstream call, no pipeline or acoustic grid, no confirmation."
"2506.22858","Mind the Gap: Entity-Preserved Context-Aware ASR Structured Transcriptions","B","Whisper-class ASR struggles with named entities and numerical data needing formatting; overlapping context windows and entity-labelled training improve NER and entity formatting.","ASR-side fix scored on NER/formatting; nothing downstream, no tool calls, no acoustic grid, no lever."
"2409.06062","Retrieval Augmented Correction of Named Entity Speech Recognition Errors","B","RAG-like LLM correction of rare entity-name ASR errors using a vector DB of entities; 33-39% relative WER reduction on voice-assistant music queries without regressing on STOP.","Corrects names via a known catalogue; amounts, digits, dates have none; no executed ledger, no audio-native arm, no confirmation."
"2603.16411","RECOVER: Robust Entity Correction via agentic Orchestration of hypothesis Variants for Evidence-based Recovery","B","Agentic entity correction using multiple ASR hypotheses (1-best, entity-aware select, ROVER, LLM-select) plus retrieval; 8-46% relative entity-phrase WER reduction, up to +22 pp recall over five datasets.","n-best used for correction, not as a clarification gate; scored by E-WER/recall, not executed-call semantics; no pipeline or acoustic comparison."
"2507.05727","ContextASR-Bench: A Massive Contextual Speech Recognition Benchmark","B","40k-entry, 300k+ named-entity benchmark across 10+ domains with context-exploitation modes; LALMs outperform conventional ASR by a large margin on entities.","Entity recognition of the transcriber only; domain terms not amounts/digits/dates; no tool calls, no silent-wrong labelling, no confirmation."
"2501.06129","Contextual ASR Error Handling with LLMs Augmentation for Goal-Oriented Conversational AI","B","Ranks n-best ASR hypotheses by dialogue-state context and context by phonetic match; correction recall +34%, F1 +16% with real users in two domains; users rate higher when correction works.","Correction inside an assistant, not a measurement of executed-wrong calls; no audio-native arm, no acoustic grid, no read-back lever."
"2507.16456","An approach to measuring the performance of Automatic Speech Recognition (ASR) models in the context of Large Language Model (LLM) powered applications","B","Argues WER misweights ASR error types once an LLM is the downstream consumer; analyses LLM error correction and proposes a new ASR measure for LLM-powered applications.","Metric proposal; no tool-calling agent, no entity-error isolation, no pipelines or acoustic conditions, no lever."
"2608.30348","Perceptually Better, Semantically Worse: Measuring Speech Enhancement Impact on LLM-Based Voice Systems","B","Output Divergence Rate on 2,974 SLURP clips with Whisper/wav2vec2 cascades: enhancement can double intent divergence despite better PESQ; echo yields speaker substitution WER cannot capture; audio metrics weakly predict ODR.","Intent classification not tool arguments; divergence not partitioned into silent-wrong vs surfaced vs asked; no audio-native arm, no confirmation lever."
"2406.12387","Performant ASR Models for Medical Entities in Accented Speech","B","Across 93 African accents, models with low overall WER still show higher clinical-entity error (patient-safety risk); introduces medical NE recall, medical WER, CER; fine-tuning improves medical WER 25-34% relative.","Entity error on transcripts, never executed; accent is the only condition; no LLM downstream, no pipelines, no confirmation."
"2609.20828","Beyond WER: Entity and Disfluency Recall in Accented Conversational ASR","B","WER-optimised ASR misses named entities in accented English (recall 53-55%); entity-dense curation plus regional LoRA on Qwen2.5-Omni-3B reaches 80-85% recall; six-category error taxonomy with LLM judge.","Names not amounts/digits; no downstream action or tool call; no telephone band or noise; no confirmation."
"2605.17443","Analyzing Error Propagation in Korean Spoken QA with ASR-LLM Cascades","B","Downstream degradation from ASR errors is consistent across LLMs (tracks ASR information loss); single-character errors salient; a large audio LM beats a matched-backbone cascade in noisy Korean SQA.","QA not tool calls; no entity-type ledger, no silent-vs-asked partition, no confirmation lever; its cascade-vs-native result cuts against our D2 and must be cited."
"2502.13645","Measuring the Effect of Transcription Noise on Downstream Language Understanding Tasks","B","Configurable framework for evaluating task models under transcript-noise severities and types and transcript cleaning; models tolerate some noise and react differently to error types.","Text-side noise on summarisation-style SLU tasks; no spoken entities, no executed calls, no pipeline comparison, no confirmation."
"2603.25727","Back to Basics: Revisiting ASR in the Age of Voice Agents","B","WildASR factorises ASR robustness along environmental degradation, demographic shift and linguistic diversity in four languages; seven ASR systems degrade unevenly and hallucinate plausible unspoken content under degraded input, a safety risk for downstream agents.","Stops at the transcript; agent risk asserted not measured as executed calls; no entity breakdown, no pipelines, no confirmation lever."
"2606.18659","Responsible ASR: Overcoming Challenges of Foundational Models in Narrow-Band and Low-Resource Settings","B","Foundation ASR (open and commercial) is suboptimal zero-shot on narrow-band telephony Hindi and Indian-accented English customer-support calls; fine-tuning helps unevenly.","WER on telephony audio only; no entity analysis, no LLM or tool call, no controlled wide-vs-narrow comparison, no confirmation."
"1909.10861","Learning ASR-Robust Contextualized Embeddings for Spoken Language Understanding","B","Confusion-aware fine-tuning makes pre-trained LM representations similar for acoustically confusable words from word confusion networks, improving SLU on ASR transcripts.","Pre-LLM slot/intent SLU; no tool execution, no entity ledger, no audio-native arm, no lever."
"2108.13048","ASR-GLUE: A New Multi-task Benchmark for ASR-Robust Natural Language Understanding","B","Six NLU tasks under ASR error across 3 noise levels and 6 speakers; studies noise intensity, error type and speaker effects; correction and augmentation help only partly.","NLU classification, not slot values feeding an action; no LLM tool calling, no telephone band, no confirmation."
"2011.13205","SLURP: A Spoken Language Understanding Resource Package","B","Large diverse English SLU dataset (18 domains) with NLU+ASR baselines and a transparent entity-labelling metric enabling detailed error analysis.","Labels on transcripts; no execution, no silent-wrong concept, no LLM tool calling."
"2207.10643","STOP: A Dataset for Spoken Task Oriented Semantic Parsing","B","Largest public spoken semantic-parsing dataset with human and TTS audio and low-resource splits, motivated by avoiding cascading ASR errors.","Parse accuracy; no executed calls, no entity-type ledger, no LLM comparison, no confirmation."
"2305.13040","SpokenWOZ: A Large-Scale Speech-Text Benchmark for Spoken Task-Oriented Dialogue Agents","B","249 h human-human spoken TOD; cross-turn and reasoning slots; best DST 25.65% JGA and best E2E completes 52.1% of requests, ChatGPT included.","DST not tool execution; slot errors not split into surfaced vs silent; no audio-native LLM with tools, no acoustic grid, no confirmation."
"2311.07418","Speech-based Slot Filling using Large Language Models","B","GPT-3.5/GPT-4/LLaMA/Vicuna on slot filling over noisy ASR transcripts of SLURP at several ASR error rates; prompt design plus linearised knowledge injection gives +8.3 SLU-F1.","Slot F1 on transcripts; no executed call, no silent-vs-asked partition, no audio-native arm, no confirmation."
"2310.06504","Revisit Input Perturbation Problems for LLMs: A Unified Robustness Evaluation Framework for Noisy Slot Filling Task","B","Noise-LLM: five single and four mixed perturbations for slot filling with augmentation and demonstration strategies; open LLMs show limited robustness.","Text perturbations, not audio; slot extraction, not execution; no pipelines, no acoustic grid, no lever."
"2401.02921","Towards ASR Robust Spoken Language Understanding Through in-Context Learning with Word Confusion Networks","B","Feeding LLMs word confusion networks from ASR lattices in ICL narrows the gap to oracle transcripts on spoken QA and intent classification across ASR conditions.","n-best used to improve answers, not to decide whether to ask; no tool execution, no entity ledger, no audio-native arm, no confirmation."
"2407.21414","Towards interfacing large language models with ASR systems using confidence measures and prompting","B","Confidence-based filtering decides which ASR transcripts an LLM corrector may touch, improving weaker ASR systems without damaging good transcripts.","Confidence gates a corrector, not a clarification; WER-scored; no tool calls, no entities, no pipeline comparison."
"2502.13446","Adopting Whisper for Confidence Estimation","B","Whisper fine-tuned to emit word-level confidence matches or beats confidence-estimation-module baselines in and out of domain.","Confidence quality only; no gating experiment, no entities, no tool calls, no downstream decision measured."
"2605.25404","Proactive for Uncertainty: Cause-Aware Error Diagnosis and Interactive Clarification for Spoken Dialogue Systems","B","Plain ASR confidence filtering misses deletions and cannot separate acoustic from linguistic mismatch; small detectors on ASR latents classify token errors and drive targeted multi-turn clarification; recall 57.96% vs 23.66%, up to -30% WER and +17% downstream across accents and distortions.","No read-back confirmation arm; downstream metric is not an executed-tool-call ledger split into silent-wrong / surfaced / asked; no audio-native arm; no entity-type breakdown; no asked-when-right cost."
"2602.17598","The Cascade Equivalence Hypothesis: When Do Speech LLMs Behave Like ASR->LLM Pipelines?","B","Matched-backbone testing plus logit-lens/LEACE show the transcript emerging inside speech LLMs; in most uses they are expensive cascades and under noise worse ones, clean advantages reversing by up to 7.6% at 0 dB.","General accuracy, not tool-argument semantics; no silent-vs-asked partition; no confirmation lever."
"2608.05126","Spoken Function Calling: A New Perspective on Spoken Language Understanding for Large Audio Language Models","B","Reframes SLU as spoken function calling; builds SFC-Bench from SLU datasets via a multi-agent synthesiser; evaluates LLMs and LALMs and post-trains LALMs; SFC beats traditional SLU on semantic extraction.","No partition into schema-valid-wrong vs surfaced vs clarified; calls not executed against a backend; no acoustic grid; no confirmation or confidence lever."
"2605.15104","From Text to Voice: A Reproducible and Verifiable Framework for Evaluating Tool Calling LLM Agents","B","Converts text tool-calling benchmarks (Confetti, When2Call) to paired audio with TTS, speaker variation and noise; 7 omni-modal models; text-to-voice gap 1.8-4.8 points; degradations mostly reflect misunderstood argument values in speech.","Omni-models only (no Whisper cascade or audio-LLM-transcriber arm); argument errors not tabulated as a silent-wrong ledger by entity type; gold-label scoring not executed no-error-no-question criterion; no telephone band, rate or per-accent spread; no confirmation, gating or instruction lever; no WER covariate."
"2609.20152","MTVA-Bench: Evaluating the Language Model Inside Cascaded Voice Agents","B","Evaluates the LM inside a cascaded voice agent with LLM-played callers, transcription issues, and a mock backend responding to the arguments actually sent; 490 scenarios, 7 languages; tool selection similar across models but overall scores span 24.4 points, mostly argument values, ordering and rule compliance.","Text-simulated transcription issues, no real audio, no acoustic conditions, no audio-native arm; argument errors not traced to a mis-heard entity or split into silent-wrong vs asked; no confirmation or confidence lever."
