arxiv_id,title,angles,claim,not_covered
2407.06957,Listen and Speak Fairly: A Study on Semantic Gender Bias in Speech Integrated Large Language Models,G,"Spoken gender-bias toolkit over four tasks (STT, coreference, continuation, SQA); bias is language-dependent and varies with evaluation method; stimuli are Azure/Google/Amazon TTS voices","TTS-only; no real recordings run; no synthetic-vs-real comparison; no provenance axis; no grading/assistant outcomes"
2408.07665,Spoken Stereoset: On Evaluating Social Bias Toward Speaker in Speech Large Language Models,G,"2,847 TTS audio prompts (Azure gender voices, Topmediai age voices); most SLLMs show minimal bias, some slight stereotypical tendencies","TTS-only; demographic cue is a TTS voice label; no real speaker; MCQA only; no provenance axis"
2509.21108,VoiceBBQ: Investigating Effect of Content and Acoustics in Social Bias of Spoken Language Model,G,"Spoken BBQ with 16 Kokoro-TTS voices separating content from acoustic bias; LLaMA-Omni amplifies gender/accent bias, Qwen2-Audio dampens acoustic cues","TTS-only (Kokoro); separates content from acoustics but never real from synthetic; no provenance axis"
2509.21125,Acoustic-based Gender Differentiation in Speech-aware Language Models,G,"9,208 Kokoro-TTS samples; LLaMA-Omni family gives male-oriented answers on stereotypical questions, ignores gender when appropriate; traced to Whisper encoder tokens","TTS-only; encoder explanation never tested on real speech; no provenance axis"
2510.02398,When Voice Matters: Evidence of Gender Disparity in Positional Bias of SpeechLLMs,G,"Token-level study of positional bias in SpeechLLM MCQA bias benchmarks on Qwen2-Audio-7B; positional bias stronger for female TTS voices (Azure, OrpheusTTS)","TTS-only; single model; no real-speech arm; no provenance axis"
2510.01254,Do Bias Benchmarks Generalise? Evidence from Voice-based Evaluation of Gender Bias in SpeechLLMs,G,"LoRA-induced MCQA bias behaviours do not transfer to other MCQA benchmarks or long-form tasks; 20 Polly/ElevenLabs TTS voices","TTS-only; authors flag TTS voices may lack natural variability but never test it; no provenance axis"
2510.02352,Evaluating Bias in Spoken Dialogue LLMs for Real-World Decisions and Recommendations,G,"FairDialogue: GUS/SNSR bias metrics across Qwen2.5-Omni, GLM-4-Voice, GPT-4o Audio, Gemini-2.5-Flash; open models sensitive to age/gender, recommendations amplify disparities; stimuli Index-TTS + ElevenLabs","TTS-only; every demographic cue is a TTS library voice; no real speaker, no clone, no synthetic-vs-real check, no detection probe"
2509.22061,Speak Your Mind: The Speech Continuation Task as a Probe of Voice-Based Model Bias,G,"First bias evaluation of speech continuation (SpiritLM, VAE-GSLM, SpeechGPT); gender effects on agency/polarity; phonation reverts to modal more for female prompts; Azure TTS prompts","TTS-only; authors state prompts are synthetic and may lack natural variability; no real arm; no provenance axis"
2511.06592,MedVoiceBias: A Controlled Study of Audio LLM Behavior in Clinical Decision-Making,G,"170 clinical cases x 36 Sesame-1B voice profiles; surgical recommendations differ up to 35% audio vs text; age disparities up to 12% survive CoT; six audio LLMs","Clones Common Voice profiles but never runs the originals; audio-vs-text gap confounded with synthetic provenance; no codec control; no detection probe"
2603.16941,The Voice Behind the Words: Quantifying Intersectional Bias in SpeechLLMs,G,"2,880 interactions with MegaTTS3 clones of EdAcc speakers (6 accents x 2 genders) on three SpeechLLMs; Eastern-European female-presenting voices get lower helpfulness; humans more sensitive than LLM judges","Clone-only; original EdAcc recordings never evaluated; closest design to our CLONE arm without the REAL arm; no provenance axis"
2604.13067,From Seeing it to Experiencing it: Interactive Evaluation of Intersectional Voice Bias in Human-AI Speech Interaction,G,"Quality-of-service vs content-level bias; accent x gender disparities in alignment and verbosity across three SpeechLLMs; voice-conversion user studies (N=24, N=19); MegaTTS3 clones","Clone-only TTS instrument; no real recordings through models; no provenance axis"
2604.14548,"VoxSafeBench: Not Just What Is Said, but Who, How, and Where",G,"Two-tier safety/fairness/privacy benchmark, 22 tasks; frontier SLMs detect acoustic cues yet fail to act on them (speech grounding gap); CosyVoice3 synthesis","Mostly synthesized audio; authors concede real-world failures may be worse but do not measure; no provenance axis"
2508.21376,AHELM: A Holistic Evaluation of Audio-Language Models,G,"Ten-aspect holistic benchmark over 14 ALMs; PARADE bias set synthetically verbalized in male/female voices; Gemini 2.5 Pro tops 5/10 aspects but shows ASR group unfairness (p=0.01); ASR baselines more noise-robust than most ALMs","Bias on TTS, fairness on real corpora, never crossed; no synthetic-vs-real comparison; no provenance axis; no detection probe"
2609.09263,Voice or Stereotype? Disentangling Acoustic and Content-Based Gender in Speech-to-Speech Models,G,"Crosses Azure TTS male/female voices with stereotyped passages on five S2S models; rendered voice does not drift but gender attribution follows content (odds x1.7-24; 90% misgendering under conflict)","TTS used deliberately as a gender-stable instrument; no real speaker; no provenance axis"
2603.13262,"Evaluation of Audio Language Models for Fairness, Safety, and Security",G,"Structural taxonomy of ALMs plus unified FSS framework; Qwen2-Audio vs Phi-4-multimodal differ in refusal, attack success, toxicity between audio and text; StyleTTS stimuli","TTS-only fairness (semantic invariance under synthetic paralinguistic variation); no real recordings; no provenance axis"
2606.26968,RedVox: Safety and Fairness Gaps in Speech Models Across Languages,G,"Multilingual safety/fairness benchmark on real participant voices in five languages; eight models; vulnerabilities worsen outside English and are amplified by spoken input; only 8% of releases report multilingual safety","Real-only; criticises synthetic-voice prior work but does not measure the gap; no TTS arm, no clone, no provenance axis"
2604.21276,Do LLM Decoders Listen Fairly? Benchmarking How Language Model Priors Shape Bias in Speech Recognition,G,"Nine ASR models on Common Voice 24 and Fair-Speech (~43k utterances); LLM decoders do not amplify racial bias; audio compression predicts accent fairness more than LLM scale; 12 degradation conditions","ASR/WER only, real speech only; no audio-LLM judge or assistant behaviour; no synthetic speech; useful for WER covariate and compression framing"
2608.13624,Measuring Fairness in Large Audio Language Models via Semantic-Aware Bias Estimation,G,"Mixed-effects fairness regression with semantic-embedding covariates and speaker random effect; removes spurious subgroup findings for Qwen2-Audio on LibriSpeech and AIR-Bench-Chat","TTS only in simulation, real only in validation, never compared on same items; provenance not a covariate; statistical template to borrow"
2507.12705,AudioJudge: Understanding What Works in Large Audio Model Based Speech Evaluation,G,"LAM-as-judge study (GPT-4o-Audio, Gemini-2.5-Flash): concatenation + ICL helps; multi-aspect ensemble 0.91 Spearman with humans; judges robust to Gaussian noise (85-93% verdicts stable at 1 dB SNR) but verbosity/positional biases; mixed real and TTS corpora","Judge sensitivity to evaluee provenance never tested; no same-speaker real/synthetic pairs; no detection probe"
2607.13477,Auditing Protocol-Level Shortcuts in Large Audio Language Model Judges for Speech Evaluation,G,"Six LALM judges rely on protocol shortcuts: wrong specialist labels drop emotion accuracy to <=0.10; Qwen3-Omni-Thinking picks the same A/B slot; each model-protocol pair needs a matched shortcut probe; real corpora (RAVDESS, FLEURS, BVCC, VoxCeleb1)","Audits the protocol, not the evaluee's provenance; no real-vs-synthetic same-speaker pairing; template for our explicit probe"
2602.04796,LALM-as-a-Judge: Benchmarking Large Audio-Language Models for Safety Evaluation in Multi-Turn Spoken Dialogues,G,"24,000 XTTS-v2 spoken dialogues with one unsafe turn; six LALM judges; audio adds non-lexical evidence but multimodal gains are text-anchored/conservative/interfering","TTS-only; lists synthetic speech as a limitation without measuring it; judge behaviour toward provenance untested"
2606.24648,ParaPairAudioBench: Paralinguistic Pairwise Audio Benchmark for LALM-as-a-Judge,G,"5,175 real-speech pairs over Style, Rate, Emphasis, Age, Gender; LALM judges trail humans by 32 points and fail to abstain on ties; same- vs cross-transcript conditions","Real-only; no synthetic arm; no provenance axis"
2505.09558,WavReward: Spoken Dialogue Models With Generalist Reward Evaluators,G,"Audio-LM reward model trained on TTS-rendered ChatReward-30K (GPT-4o-mini-TTS, Step-Audio clones, CosyVoice2); accuracy 53.4% to 91.5%; 120 real dialogues as OOD test","Real dialogues are a generalisation test, not a matched comparison; reward model's treatment of provenance untested"
2512.09066,ORCA: Open-ended Response Correctness Assessment for Audio Question Answering,G,"9,663 human annotations on LALM open-ended answers; trained correctness models reach 0.91 Spearman with humans and beat Gemini 2.5 Flash as judge","Text-side judging of LALM outputs; audio provenance plays no role"
