arxiv_id,title,angles,claim,not_covered
2605.30748,Chatterbox-Flash: Prior-Calibrated Block Diffusion for Streaming Zero-Shot TTS,H,"Resemble AI's arXiv paper in the Chatterbox line: AR decoder fine-tuned into block-diffusion for streaming zero-shot TTS; ""high-fidelity synthesis comparable to strong autoregressive and non-autoregressive baselines""; the original Chatterbox (0.5B, MIT, 5-20 s reference, PerTh watermark on every output) has no paper","Model description only; training data undisclosed (LibriSpeech overlap possible); PerTh watermark is a CLONE/STOCK-only systematic difference; no listener or audio-LLM behaviour study"
2410.06885,F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,H,"Non-autoregressive flow-matching DiT TTS with filler-token text padding and Sway Sampling; RTF 0.15; 100K h public data; natural expressive zero-shot cloning; its LibriSpeech-PC WER/SIM protocol is the field standard","Alternative clone engine; no downstream behavioural measurement"
2406.04904,XTTS: a Massively Multilingual Zero-Shot Text-to-Speech Model,H,"Tortoise-based public zero-shot multilingual cloning system, 16 languages, SOTA in most","Engine only; candidate second engine for engine-generality check"
2412.10117,CosyVoice 2: Scalable Streaming Speech Synthesis with Large Language Models,H,"FSQ supervised speech tokens, pre-trained LLM backbone, chunk-aware causal flow matching; claims human-parity naturalness and virtually lossless streaming quality","Parity claimed on MOS/SIM only; nothing on how a downstream model treats the output"
2301.02111,Neural Codec Language Models are Zero-Shot Text to Speech Synthesizers,H,"VALL-E: TTS as LM over EnCodec tokens, 60K h, 3-second in-context cloning; outperforms prior zero-shot TTS on naturalness and speaker similarity; preserves prompt emotion and environment","Origin of codec-token cloning (why RESYNTH control exists); no behavioural study"
2406.02430,Seed-TTS: A Family of High-Quality Versatile Speech Generation Models,H,"AR and DiT TTS ""virtually indistinguishable from human speech""; speaker similarity and naturalness match ground-truth human speech objectively and subjectively; reference/target zero-shot protocol on LibriSpeech test-clean","Instrument reaches perceptual parity; no measurement of machine treatment of its output"
2110.13900,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,H,"Masked prediction + denoising SSL on 94k h; SOTA on SUPERB incl. speaker verification; WavLM-SV cosine is the standard TTS speaker-similarity (SIM) metric","SIM measures identity retention, not provenance; a precondition for our arms, not a result"
2204.02152,UTMOS: UTokyo-SaruLab System for VoiceMOS Challenge 2022,H,"SSL-fine-tuned ensemble MOS predictor, top on VoiceMOS 2022 main and OOD tracks; standard automatic naturalness score","Predicts human naturalness ratings; scale uncalibrated on 2026 clones; within-study arm comparison only"
2110.01763,DNSMOS P.835: A Non-Intrusive Perceptual Objective Speech Quality Metric to Evaluate Noise Suppressors,H,"Non-intrusive SIG/BAK/OVRL predictor, PCC 0.94/0.98/0.98 with P.835 human ratings","Built for noise suppressors, not synthetic speech; quality covariate only"
2402.13071,Codec-SUPERB: An In-Depth Analysis of Sound Codec Models,H,"Benchmark of neural codecs on content, paralinguistics, speaker and audio tasks plus signal metrics; codecs lose different information classes","Downstream classifier loss, not generative audio-LLM behaviour toward resynthesised speech"
2210.13438,High Fidelity Neural Audio Compression,H,"EnCodec: streaming encoder-decoder, multiscale spectrogram adversary, loss balancer; MUSHRA-superior at 24 kHz mono and 48 kHz stereo; the codec used for our RESYNTH arm","No study of listener or model treatment of re-encoded vs original speech"
2306.06546,High-Fidelity Audio Compression with Improved RVQGAN,H,"DAC: ~90x compression of 44.1 kHz audio at 8 kbps, universal single model, outperforms competing codecs, open weights","Alternative control codec; same gap as EnCodec"
2406.07237,CodecFake: Enhancing Anti-Spoofing Models Against Deepfake Audios from Codec-Based Speech Synthesis Systems,H,"First codec-based deepfake dataset; anti-spoofing models trained on standard data cannot detect codec-resynthesised speech until trained on CodecFake","Shows resynthesis is a distinct detectable artefact class (motivates RESYNTH); dedicated detectors only, no audio LLM, no behavioural outcome"
2107.09667,Human Perception of Audio Deepfakes,H,"472 users, 14,912 rounds vs SOTA detector: humans and detectors share strengths and weaknesses; native speakers better, older participants worse, IT professionals no advantage","Human explicit detection only; nothing on trust/grading or on audio LLMs"
10.1371/journal.pone.0285333,Warning: Humans cannot reliably detect speech deepfakes,H,"n=529 English and Mandarin listeners spot deepfakes 73% of the time; no language difference; example-based training helps only slightly","Human, explicit, 2023 synthesis; supplies the D4 comparison point, no implicit behavioural measure"
2502.08857,ASVspoof 5: Design Collection and Validation of Resources for Spoofing Deepfake and Adversarial Attack Detection Using Crowdsourced Speech,H,"Crowdsourced ~2,000-speaker database, 32 TTS/VC/adversarial attack algorithms optimised against surrogate detectors, speaker-disjoint protocols","Dedicated detector evaluation; no generalist audio-LLM, no matched behavioural outcome"
2603.15037,PhonemeDF: A Synthetic Speech Dataset for Audio Deepfake Detection and Naturalness Evaluation,H,"Parallel real (LibriSpeech subset) and synthetic speech from 4 TTS + 3 VC systems, phoneme-aligned; real-vs-synthetic phoneme KLD predicts detector performance","Closest stimulus construction to ours but outcome is detector accuracy and phoneme fidelity, not audio-LLM behaviour"
10.1145/3313831.3376789,Choice of Voices: A Large-Scale Evaluation of Text-to-Speech Voice Quality for Long-Form Content,H,"CHI 2020; 18 TTS voices, 3 human voices, text control, ~1,090 crowd raters on listening experience, clarity/quality, comprehension: ""TTS voices are close to rivaling human voices, yet no single voice outperforms the others""","Human raters, unmatched speakers, stock TTS not clones; comprehension in listener not model"
10.3389/fnbot.2020.593732,The Human Takes It All: Humanlike Synthesized Voices Are Perceived as Less Eerie and More Likable,H,"95 adults rate IBM Watson, robot Sophia and human voices; human-likeness predicts lower eeriness and higher likability; paralinguistic cues used to separate human from artificial","Human listeners, no same-speaker clone condition, no machine listener"
10.3389/fpsyg.2022.787499,Robot Voices in Daily Life: Vocal Human-Likeness and Application Context as Determinants of User Acceptance,H,"165 participants, five voices at graded realism; anthropomorphism, eeriness and acceptance vary with realism and application domain","Human judges only; supplies context-dependent trust framing for ASSIST outcome"
10.1145/3405755.3406120,Persuasive Synthetic Speech: Voice Perception and User Behaviour,H,"CUI 2020; debating-style synthetic voice rated significantly more truthful and involved than audiobook-style synthetic voice in a flight-booking agent task, but recommendation-following unchanged","Compares two synthetic voices, not synthetic vs real; behaviour measured in the human"
10.1250/ast.33.1,Speech synthesis technologies for individuals with vocal disabilities: Voice banking and reconstruction,H,"Overview of clinical speech synthesis and the Edinburgh voice banking project for MND/ALS and Parkinson's: personalised synthetic voices for AAC from pre-loss recordings","HMM era; no study of third-party or machine response to a banked voice"
10.1111/1460-6984.12588,Voice banking for people living with motor neurone disease: Views and expectations,H,">80% of plwMND develop speech difficulties, most use AAC; generic synthesized voices seen as impersonal and a barrier to AAC acceptance; voice banking argued to preserve identity","Clinical/qualitative; nothing on whether voice agents treat a banked voice differently"
2606.21343,An Evaluation Framework for Text-to-Speech Voice Reconstruction,H,"17 zero-shot TTS systems, 193 speakers with speech disorders; MOS insufficient; BWS with situational framing plus dual-reference distributional intelligibility/identity measure","Evaluates reconstruction for people, not machine treatment of reconstructed voices"
2605.13841,EVA-Bench: A New End-to-end Framework for Evaluating Voice Agents,H,"Bot-to-bot audio conversations with TTS-voiced simulated users; 213 scenarios, 12 systems, accent/noise perturbation suite (mean delta up to 0.314)","Every caller is synthetic and treated as inert; provenance is not a perturbation axis"
2607.27453,VAmoS Bench: Voice Agent Simulation Bench,H,"End-to-end containment benchmark; simulated caller reaches a credit-card support agent over audio, 100 scenarios, one-third adversarial, SQL tool-call grading","Synthetic caller voice assumed inert; no real-vs-synthetic comparison"
10.1109/ICASSP.2015.7178964,Librispeech: An ASR corpus based on public domain audio books,H,"~1000 h 16 kHz read English from LibriVox public-domain audiobooks; test-clean is the speaker-disjoint clean eval split; licence CC BY 4.0 (openslr.org/12, read live)","Built for ASR; test-clean doubles as the standard zero-shot TTS eval set so our stimuli sit where cloning papers report numbers"
