arxiv_id,title,angles,claim,not_covered
2601.00777,"Investigating the Viability of Employing Multi-modal Large Language Models in the Context of Audio Deepfake Detection",F,"Qwen2-Audio-7B-Instruct and SALMONN perform poorly at deepfake detection zero-shot and fail out-of-domain; in-domain fine-tuning with minimal supervision works.","Detection accuracy only; no matched real/clone pairs; no behavioural outcome; no comparison of detection with downstream treatment."
2602.04535,"HoliAntiSpoof: Audio LLM for Holistic Speech Anti-Spoofing",F,"First ALLM framework casting anti-spoofing as text generation over method, attributes and semantic impact; DailyTalkEdit benchmark; in-context learning helps OOD.","Trained detector, not an audit of off-the-shelf assistants; no behavioural provenance delta."
2603.28021,"Audio Language Model for Deepfake Detection Grounded in Acoustic Chain-of-Thought",F,"CoLMbo-DF injects textual acoustic features into the prompt so a small ALLM reasons over evidence; beats ALLM baselines; releases CoT-annotated pairs.","Fine-tuned detection; nothing on zero-shot deployed models or implicit behavioural sensitivity."
2601.02983,"Interpretable All-Type Audio Deepfake Detection with Audio LLMs via Frequency-Time Reinforcement Learning",F,"Binary-label SFT makes ALLMs black boxes and vanilla RFT hallucinates rationales; FT-GRPO on ~340K frequency-time CoT gives SOTA all-type detection with grounded rationales.","Training method; no evaluation of untuned model behaviour; speech is one of four audio types."
2601.23066,"Towards Explicit Acoustic Evidence Perception in Audio LLMs for Speech Deepfake Detection",F,"Audio-LLM detectors are biased toward semantic cues and miss fine acoustic artefacts; fakes with natural semantics bypass them; adding structured spectrograms restores acoustic access.","Semantic dominance shown for detection only; no same-speaker same-words pairs; no judge or assistant outcomes."
2607.26553,"ThinkOmni: A Reasoning-Driven Omni-Modal LLM Framework for Audio Forgery Detection and Localization",F,"Omni-modal LLM with 100K forensic CoT, modality-incremental learning and multi-task loss; joint detection and temporal localisation with cross-dataset generalisation.","Trained forensic system; no audit of deployed assistants; no behavioural outcomes."
2601.03615,"SARA: Stress Test Reasoning in Audio Deepfake Detection",F,"Five open ALMs under acoustic and linguistic attacks; acoustic attacks cut reasoning-verdict coherence 14.2%; trace coherence detects perturbed audio at 0.78 F1 without the waveform.","Reasoning faithfulness of detectors; no provenance effect on non-detection tasks; no clone pairs."
2512.10652,"TriDF: Evaluating Perception, Detection, and Hallucination for Interpretable DeepFake Detection",F,"16 deepfake types across image/video/audio on frontier MLLMs; audio: SALMONN-7B most accurate with no interpretability, Gemini 2.5-Pro detection nearly at chance with best explanations.","Detection only; generic forgeries not same-speaker clones; no behavioural task. Closest closed-model number for the explicit probe baseline."
2608.09593,"MADBench: A Benchmark for Modality-Aware Audio Deepfake Detection",F,"Separates speech from environmental-audio forgery; benchmarks detectors and multimodal LLMs; synthetic speech harder to detect than manipulated background audio; pretrained detectors fail on both.","Detection on video-borne audio; no LALM behavioural outcome; no matched clone-vs-real pairs."
2507.21463,"SpeechFake: A Large-Scale Multilingual Speech Deepfake Dataset Incorporating Cutting-Edge Generation Methods",F,"3M+ samples, 3000+ h, 40 generators (TTS, VC, neural vocoder), 46 languages; ablations on generation method, language and speaker variation.","Dedicated detectors, not LALMs; no behavioural or judge outcomes; vocoder partition is the nearest precedent for a RESYNTH arm."
2501.08238,"CodecFake+: Codec-Based Resynthesized Data as a Proxy for Detecting CodecFake Speech",F,"Codec re-synthesised speech from 31 open codecs is a valid training proxy for detecting codec-based TTS; codec taxonomy predicts detectability.","Detector training; no LALM behaviour. Establishes that codec round-trips carry detectable artefacts, motivating the RESYNTH control."
2605.26136,"Eroding Trust in Real Speech: A Large-Scale Study of Human Audio Deepfake Perception",F,"35,532 judgments, 1,768 listeners, 138 systems: human accuracy on fakes flat (72.9 to 71.2%) but on real speech fell 72.7 to 64.1%; LM-based and commercial TTS hardest; ML detector >94.5%.","Humans, not models; no LALM. Human comparator for the explicit probe and the real-speech-penalised framing."
2604.25591,"Walking Through Uncertainty: An Empirical Study of Uncertainty Estimation for Audio-Aware Large Language Models",F,"First systematic uncertainty-estimation study for ALLMs across five methods; semantic and verification methods beat token-level on reasoning but rankings become model- and benchmark-dependent on hallucination/unanswerable settings.","No provenance or deepfake task; no matched pairs. Shows probe confidence cannot be read at face value."
2604.19300,"HalluAudio: A Comprehensive Benchmark for Hallucination Detection in Large Audio-Language Models",F,"5K+ human-verified QA over speech, sound, music; measures hallucination rate, yes/no bias, error type and refusal rate; broad acoustic-grounding deficiencies.","No synthetic-vs-real axis. Its yes/no-bias and refusal protocol is the template for scoring a binary provenance probe."
2606.24648,"ParaPairAudioBench: Paralinguistic Pairwise Audio Benchmark for LALM-as-a-Judge",F,"5,175 pairs over style, rate, emphasis, age, gender; LALM judges trail humans by 32 points with severe calibration failures on ties; same-transcript vs cross-transcript conditions separate lexical from acoustic reliance.","Judges paralinguistics, not provenance; no real-vs-clone pairs. Same-transcript design is the precedent for content-fixed pairs."
2605.13737,"Senses Wide Shut: A Representation-Action Gap in Omnimodal LLMs",F,"IMAVB 500 clips: hidden states reliably encode premise-perception mismatches while outputs almost never reject the false claim; audio worse than vision; prompt-resistant; probe-guided logit adjustment helps.","Premise conflicts, not provenance; no clone pairs. Conceptual template for implicit-without-explicit."
