arxiv_id,title,angles,claim,not_covered
2609.11137,The Machines Are Calling,P,Honeypot measures prevalence of synthetic voices in robocalls (>= 26.9%).,see candidate_provenance_preemption.md
2609.09263,Voice or Stereotype? Disentangling Acoustic and Content-Based Gender in Speech-to-Speech Models,G,Crosses Azure TTS male/female voices with stereotyped passages on five S2S models; rendered voice does not drift but gender attribution follows content (odds x1.7-24; 90% misgendering under conflict),TTS used deliberately as a gender-stable instrument; no real speaker; no provenance axis
2609.04256,Warmth-mediated harm in speech-enabled LLMs,P,Warmth/sycophancy in mental-health voice conversations.,see candidate_provenance_preemption.md
2609.00727,Heard but Not Heeded: Paralinguistic Information Encoding and Loss in Audio-Language Models,F,"Speaking style is strongly encoded in late encoder layers of Whisper, Qwen2-Audio, Qwen2.5-Omni, Chroma but degraded before output; models split into content-driven vs acoustic-driven; leakage metric quantifies encode-vs-use gap.","Speaking style, not synthetic-ness; no behavioural task. Supplies mechanism story for family-dependent sign."
2608.30348,"Perceptually Better, Semantically Worse: Measuring Speech Enhancement Impact on LLM-Based Voice Systems",G,Output Divergence Rate: speech enhancement changes LLM intent classification vs clean speech in every condition; MetricGAN+ doubles divergence despite better PESQ; quality metrics barely predict divergence,Cascaded ASR+LLM; processing artefacts not synthetic provenance; no bias or judge outcomes
2608.22236,MRMAD: A Multi-Round Multi-Audio Benchmark for Evaluating Acoustic Degradation Perception in Large Audio-Language Models,G,"18 LALMs recognise content but cannot diagnose, compare or track degradations across turns; large gap vs humans","Asks whether models can report degradation, not whether it shifts behaviour; no synthetic provenance; parallels our probe-vs-behaviour contrast"
2608.13624,Measuring Fairness in Large Audio Language Models via Semantic-Aware Bias Estimation,G,Mixed-effects fairness regression with semantic-embedding covariates and speaker random effect; removes spurious subgroup findings for Qwen2-Audio on LibriSpeech and AIR-Bench-Chat,"TTS only in simulation, real only in validation, never compared on same items; provenance not a covariate; statistical template to borrow"
2608.09593,MADBench: A Benchmark for Modality-Aware Audio Deepfake Detection,F,Separates speech from environmental-audio forgery; benchmarks detectors and multimodal LLMs; synthetic speech harder to detect than manipulated background audio; pretrained detectors fail on both.,Detection on video-borne audio; no LALM behavioural outcome; no matched clone-vs-real pairs.
2608.06718,Do ALMs use paralinguistic evidence? Counterfactual audits,P,"Judge diagnostic profiles on synthesized user audio (gpt-4o-mini-tts) vs the original CAVA human speech: Spearman rho > 0.9 across all 11 judges, ""near perfect Pearson correlation and a slope close to 1"".",see candidate_provenance_preemption.md
2608.05507,AffectDF,P,Deepfake-detection benchmark for emotional speech.,see candidate_provenance_preemption.md
2607.27453,VAmoS Bench: Voice Agent Simulation Bench,H,"End-to-end containment benchmark; simulated caller reaches a credit-card support agent over audio, 100 scenarios, one-third adversarial, SQL tool-call grading",Synthetic caller voice assumed inert; no real-vs-synthetic comparison
2607.26553,ThinkOmni: A Reasoning-Driven Omni-Modal LLM Framework for Audio Forgery Detection and Localization,F,"Omni-modal LLM with 100K forensic CoT, modality-incremental learning and multi-task loss; joint detection and temporal localisation with cross-dataset generalisation.",Trained forensic system; no audit of deployed assistants; no behavioural outcomes.
2607.14753,LALMs for spoofing-aware speaker verification,P,Adapts LALMs into spoof-aware ASV.,see candidate_provenance_preemption.md
2607.13477,Auditing Protocol-Level Shortcuts in Large Audio Language Model Judges for Speech Evaluation,G,"Six LALM judges rely on protocol shortcuts: wrong specialist labels drop emotion accuracy to <=0.10; Qwen3-Omni-Thinking picks the same A/B slot; each model-protocol pair needs a matched shortcut probe; real corpora (RAVDESS, FLEURS, BVCC, VoxCeleb1)","Audits the protocol, not the evaluee's provenance; no real-vs-synthetic same-speaker pairing; template for our explicit probe"
2607.03418,DETECT-3B-Omni demographics,P,Demographic invariance of a dedicated detector.,see candidate_provenance_preemption.md
2606.26968,RedVox: Safety and Fairness Gaps in Speech Models Across Languages,G,Multilingual safety/fairness benchmark on real participant voices in five languages; eight models; vulnerabilities worsen outside English and are amplified by spoken input; only 8% of releases report multilingual safety,"Real-only; criticises synthetic-voice prior work but does not measure the gap; no TTS arm, no clone, no provenance axis"
2606.24648,ParaPairAudioBench: Paralinguistic Pairwise Audio Benchmark for LALM-as-a-Judge,"F,G","5,175 pairs over style, rate, emphasis, age, gender; LALM judges trail humans by 32 points with severe calibration failures on ties; same-transcript vs cross-transcript conditions separate lexical from acoustic reliance.","Judges paralinguistics, not provenance; no real-vs-clone pairs. Same-transcript design is the precedent for content-fixed pairs."
2606.21343,An Evaluation Framework for Text-to-Speech Voice Reconstruction,H,"17 zero-shot TTS systems, 193 speakers with speech disorders; MOS insufficient; BWS with situational framing plus dual-reference distributional intelligibility/identity measure","Evaluates reconstruction for people, not machine treatment of reconstructed voices"
2606.10581,ParaBridge: Bridging Paralinguistic Perception and Dialogue Behavior in Speech Language Models,F,"SLMs recognise paralinguistic cues but ignore them in dialogue; an inference-time scaffold narrows the perception-behaviour gap, so cues are latent; self-distillation makes it stable (VoxSafeBench SAR 14.6 to 40.3%).","Cues are child voice, fear, noise, not provenance; no real-vs-clone comparison."
