arxiv_id,title,angles,claim,not_covered
"cmp-lg/9612003","Metrics for Evaluating Dialogue Strategies in a Spoken Language System","C","Metrics for comparing dialogue strategies in a real-time spoken system: transaction success, contextual appropriateness, normal vs correction turns, and a new implicit-recovery metric; two repair strategies compared.","Pre-LLM slot filling; no tool calls, no entity-type ledger, no cascade vs audio-native, no recovery fraction of silent-wrong executions."
"cs/9903008","Empirically Evaluating an Adaptable Spoken Dialogue System","C","TOOT evaluated with 20 users x 4 tasks (80 dialogues); adaptable version generally outperforms non-adaptable; utility of adaptation depends on initial initiative and confirmation strategies.","User-controlled strategy switching; confirmation not measured as recovery of wrong executed actions; no LLM, no entity ledger."
"DOI:10.1023/A:1015036910358","Designing and Evaluating an Adaptive Spoken Dialogue System","C","Rules learned from training dialogues detect a user having ASR trouble; adaptive TOOT tightens strategy to implicit then explicit confirmation of each ASR hypothesis; empirical evaluation shows utility.","Adaptation triggered by a user-trouble model, not per-entity confidence; no executed-action ledger, no LLM pipelines, no audio-native arm."
"ACL:C00-1068","Flexible Mixed-Initiative Dialogue Management using Concept-Level Confidence Measures of Speech Recognizer Output","C","Two concept-level confidence measures from 10-best ASR output; low-confidence interpretations go to confirmation; interpretation accuracy improved 11.5%.","Grammar-based slot system; no LLM, no tool execution, no comparison against read-back or instruction-only levers, no acoustic crossing."
"DOI:10.21437/Interspeech.2004-120","A Comparison of Confirmation Styles for Error Handling in a Speech Dialog System","C","Explicit, final and implicit confirmation compared for usability in CAMMIA; final confirmation with fewer turns preferred when no error, explicit preferred when an error occurs.","Usability preference study, not a measured recovery fraction; no tool calls, no entity types, no LLM, no acoustic conditions."
"ACL:2005.sigdial-1.14","Sorry, I Didn't Catch That! - An Investigation of Non-understanding Errors and Recovery Strategies","C","Corpus analysis of non-understanding errors and ten recovery strategies in a room-reservation system; which strategies and user responses lead to recovery; whether a policy can be learned from data.","Non-understandings, not silent mis-understandings that execute; no tool execution ledger; pre-LLM."
"2409.00557","Learning to Ask: When LLM Agents Meet Unclear Instruction","C","NoisyToolBench of imperfect instructions; LLMs arbitrarily generate missing arguments; Ask-when-Needed prompting makes them ask; ToolEvaluator scores accuracy and efficiency.","Instruction-only lever in text for missing arguments, not mis-heard spoken entities; no speech, no confidence gating, no read-back oracle, no silent-wrong recovery fraction."
"2406.12639","Ask-before-Plan: Proactive Language Agents for Real-World Planning","C","Proactive Agent Planning task: predict clarification needs, gather information with tools, plan; CEP multi-agent framework with trajectory tuning.","Planning ambiguity in text; no speech, no entity mis-hearing, no per-lever cost accounting."
"2504.18851","When2Call: When (not) to Call Tools","C","Benchmark of tool-usage decisions: call, ask for clarification, or recognise tools cannot answer; leading models have significant room for improvement; preference optimisation helps.","Text decisions only; no ASR entity errors, no read-back, no recovery fraction."
"2511.08798","Structured Uncertainty guided Clarification for LLM Agents","C","Structured uncertainty over tool parameters and domains with EVPI question selection and cost modeling; SAGE-Agent 7-39% higher coverage with 1.5-2.7x fewer questions; uncertainty-weighted GRPO lifts When2Call; introduces ClarifyBench.","Uncertainty over what the user wants, not what the ASR heard; no speech pipelines, no acoustic conditions, no read-back-vs-gating comparison."
"2606.03135","Uncertainty-Aware Clarification in LLM Agents with Information Gain","C","Information Gain Reward trains a clarifier in a clarification-enhanced tau-Bench; +3.7% success over no-clarification while adding only 0.3 interaction steps on average.","Turn cost reported for text underspecification; no speech, no entity errors, no confirmation of heard values."
"2602.11199","When and What to Ask: AskBench and Rubric-Guided RLVR for LLM Clarification","C","AskBench turns QA pairs into multi-turn interactions with checkpoints and a judge loop; AskMind and AskOverconfidence settings; rubric-guided RLVR improves accuracy and interaction efficiency.","QA not tool execution; no speech; no confirmation of a heard value."
