"arxiv_id","title","angles","claim","not_covered"
"2609.24812","MSI-Bench: Evaluating Multi-Speaker Voice Interaction for Collaborative AI Agents","E","1,152 multi-party audio scenes with expected tool calls; best system passes 66.8% EN / 54.5% ZH; open-weight models bottlenecked by multi-speaker audio front-end.","Multi-speaker perception; no spoken-entity ledger, no pipeline or acoustic factorial, no confirmation lever."
"2609.20152","MTVA-Bench: Evaluating the Language Model Inside Cascaded Voice Agents","E","Evaluates the text LLM under cascade conditions with an LLM caller and a mock backend answering the arguments actually sent; argument values are a main driver of a 24.4-pt score spread.","Simulated transcript artefacts, no real ASR or audio-native arm, no acoustic conditions, no entity-type silent-wrong cell, no lever comparison."
"2609.19630","From Intent to Action: Benchmarking LLM Safety in Vehicle Voice Command Authorization","E","202-scenario benchmark of the pre-action decision (execute/refuse/clarify/confirm/defer) for vehicle voice commands; alignment 40.1-89.1%, persistent confirmation errors.","Text scenarios about authorization, not mis-heard entities; no audio, no pipelines."
"2609.21084","The Hidden Cost of Digits: Number Normalization and WER in ASR Systems","E","Lack of number normalization shifts ASR WER by >2 pts, often larger than between-system differences.","Metric hygiene only; no agent, no tool calls, no recovery."
"2609.19334","A frontend-backend architecture for tool calls in full-duplex speech models","E","Duplex speech-to-text frontend emits a delegation token to a text backend LLM for tool calls; 92-97% tool-call recall.","Architecture paper; no wrong-argument ledger, no acoustic factorial, no confirmation lever."
"2609.14758","Fabrication After Tool Failure: Tool-Augmented Agents Assert Values Their Tools Did Not Return","E","Tool-augmented agents assert unsupported values 0.0% when a tool returns status:error but 45.3% when it returns status:ok with corrupted content.","Text-only, tool-output side; the input-side silent-wrong cell from mis-heard speech is untouched."
"2609.13602","tau-Elicitation: Benchmarking multi-turn entity extraction in voice agents","E","200-task voice benchmark over 10 entity types with 5 caller voices and 3 environments; audio-native agents reach robust exact success 0.14-0.41; only 24-37% of verified errors repaired; a spell/read-back/confirm scaffold adds 14-31 Pass^3 points at 21-28 s per call.","Audio-native realtime models only (caller-side ASR deliberately omitted): no Whisper cascade, no audio-LLM transcriber arm, no ASR-confidence/n-best gating lever, no WER covariate, no telephone band or speaking rate, no voices-per-accent design, no formal silent-wrong rate per entity type x condition, no false-positive cost of confirmation."
"2609.13076","MP-Bench: Evaluating Voice Agents as a Multiparty Conversation Participant","E","First benchmark of voice agents as active multi-party participants (turn-taking awareness, response appropriateness).","Different question; no entity or tool-argument measurement."
"2608.28916","VoiceCodeBench: Evaluating Exact Structured-Token Recovery in Automatic Speech Recognition","E","1,482 audited entities across 26 types (phone, currency, date, time, account number, spelled sequences) on 19 ASR systems; WER nearly uncorrelated with entity recovery (rho -0.28) or task success; best TSR 68.7%.","ASR transcripts only: no LLM, no tool call, no execution, no audio-LLM transcriber, clean audio only, no noise/telephone, no recovery lever."
"2608.26432","SpeechGym: An Audio-Native Gym for Training Voice Agents via Reinforcement Learning","E","Audio-native tau2-bench self-play with Qwen3-Omni; mis-heard slot values in 32% of speech rollouts vs 2% in text; failures are perceptual (right tool, right slot, wrong value); per-turn process reward fixes GRPO sparsity.","RL training paper with one open model and clean self-play audio; no cascade comparison, no acoustic factorial, no measured confirmation or gating lever, no silent-vs-asked ledger."
"2608.24314","Benchmarking LLM Judges for Voice-Agent Evaluation: Reliability, Calibration, and Human Oversight","E","Human vs GPT-4.1/GPT-5 judges on telecom/retail voice-agent calls; judge reliability is metric- and configuration-dependent.","Judge reliability; no entity-error measurement."
"2608.19303","Outcome Monitors: Recovery Affordances for Silent Tool Failures","E","Outcome-contract monitors detect silent tool failures that arrive in the expected format; ToolMaze completion 10.9%->28.1%.","Text agents, tool-output side; nothing about mis-heard inputs or voice."
"2608.06027","FormBharo: Designing and Evaluating a Voice Agent for Conversational Form Filling in Rural India","E","Hindi phone voice agent for form filling with deterministic validation; FormVoiceAgentBench with 3,760 tests over 960 simulated calls scoring transcription, extraction and completion.","Single deployment and language; no pipeline comparison, no entity-type silent-wrong ledger, no lever comparison with cost."
"2608.05126","Spoken Function Calling: A New Perspective on Spoken Language Understanding for Large Audio Language Models","E","Reframes SLU as spoken function calling; SFC-Bench synthesized from SLU datasets; evaluates LLMs/LALMs and post-trains LALMs.","Semantic-extraction accuracy only; no silent-wrong cell, no acoustic factorial, no cascade-vs-native under telephone band, no confirmation lever."
"2607.27453","VAmoS Bench: Voice Agent Simulation Bench","E","End-to-end phone simulation with a seeded SQL backend and five real tools; grader checks arguments and rows and catches agents that claim changes without making them.","100 single-domain scenarios; containment scoring, no entity-type or acoustic factorial, no lever comparison."
"2606.21453","CORTIS: Text-Only Adaptation of Spoken Language Models for Task-Oriented Voice Agents","E","Text-only adaptation of Qwen2.5-Omni for speech-to-structured outputs vs matched ASR-LLM cascades; advantages under acoustic degradation.","Training method; no error-type ledger, no confirmation or gating lever, no telephone/accent factorial."
"2606.19595","IHBench: Evaluating Post-Interruption Recovery in Voice Agents with Structured Workflows","E","Six interruption types injected into state-machine workflows across 10 domains; 27 audio-LM configurations scored on recovery quality.","Interruption recovery, not entity mis-hearing."
"2606.03135","Uncertainty-Aware Clarification in LLM Agents with Information Gain","E","Information-gain reward trains a clarifier in a clarification-enhanced tau-Bench; +3.7% success at +0.3 steps.","Text-only intent ambiguity; no speech, no mis-heard entities, no read-back comparison."
"2605.29430","Towards Human-Like Interactive Speech Recognition With Agentic Correction and Semantic Evaluation","E","Interactive ASR as multi-turn refinement with semantic correction and a sentence-level semantic error rate; large semantic gains on entity-intensive and code-switching sets.","Stops at the transcript: no tool calls, no pipelines, no acoustic factorial, no lever cost accounting."
"2605.25404","Proactive for Uncertainty: Cause-Aware Error Diagnosis and Interactive Clarification for Spoken Dialogue Systems","E","ASR confidence filtering fails on deletions and cannot separate acoustic from linguistic errors; cause-aware detectors on ASR latents drive targeted clarification, +17% downstream task across accents and distortions.","SDS/WER framing, not a tool-call ledger: no schema-valid-wrong cell, no audio-native arm, no read-back-with-oracle baseline, no turn/token cost."
